date,1. open,2. high,3. low,4. close,5. volume
2020-09-11 20:00:00,6.97,6.97,6.97,6.97,1230.0
2020-09-11 19:43:00,6.97,6.97,6.97,6.97,300.0
2020-09-11 19:37:00,6.97,6.97,6.97,6.97,1024.0
2020-09-11 19:25:00,6.97,6.97,6.97,6.97,100.0
2020-09-11 19:01:00,6.97,6.97,6.97,6.97,100.0
2020-09-11 18:16:00,6.97,6.97,6.97,6.97,3312.0
2020-09-11 18:04:00,6.97,6.97,6.96,6.96,3100.0
2020-09-11 18:00:00,6.98,6.99,6.98,6.99,1037.0
2020-09-11 17:59:00,6.97,6.97,6.97,6.97,415.0
2020-09-11 17:57:00,6.97,6.97,6.97,6.97,172.0
2020-09-11 17:49:00,6.98,6.98,6.98,6.98,222.0
2020-09-11 17:42:00,6.99,6.99,6.99,6.99,331.0
2020-09-11 17:40:00,6.98,6.98,6.98,6.98,147.0
2020-09-11 17:39:00,6.98,6.98,6.98,6.98,188.0
2020-09-11 17:32:00,6.98,6.98,6.98,6.98,179.0
2020-09-11 17:28:00,6.98,6.98,6.98,6.98,244.0
2020-09-11 17:26:00,6.98,6.98,6.98,6.98,3093.0
2020-09-11 17:25:00,6.99,6.99,6.99,6.99,289.0
2020-09-11 17:24:00,6.98,6.98,6.98,6.98,499.0
2020-09-11 17:20:00,6.9898,6.9898,6.9898,6.9898,133.0
2020-09-11 17:15:00,6.98,6.99,6.98,6.9802,14680.0
2020-09-11 17:14:00,6.99,6.99,6.99,6.99,210.0
2020-09-11 17:12:00,6.99,6.99,6.99,6.99,185.0
2020-09-11 17:11:00,6.98,6.9802,6.98,6.9802,318.0
2020-09-11 17:07:00,6.9802,6.9802,6.9802,6.9802,113.0
2020-09-11 17:05:00,6.98,6.98,6.98,6.98,167.0
2020-09-11 17:04:00,6.98,6.98,6.98,6.98,188.0
2020-09-11 17:00:00,6.98,6.99,6.98,6.99,1834.0
2020-09-11 16:57:00,6.98,6.98,6.98,6.98,233.0
2020-09-11 16:53:00,6.98,6.98,6.98,6.98,284.0
2020-09-11 16:50:00,6.9802,6.9802,6.9802,6.9802,407.0
2020-09-11 16:46:00,6.98,6.99,6.98,6.98,987.0
2020-09-11 16:42:00,6.99,7.0,6.99,6.99,204272.0
2020-09-11 16:39:00,6.9802,6.9802,6.9802,6.9802,1109.0
2020-09-11 16:37:00,6.9802,6.9802,6.9802,6.9802,165.0
2020-09-11 16:32:00,6.99,6.99,6.98,6.99,5831.0
2020-09-11 16:31:00,6.99,6.9902,6.99,6.99,2323.0
2020-09-11 16:29:00,6.9802,6.99,6.9802,6.99,1955.0
2020-09-11 16:28:00,6.9802,6.9802,6.9802,6.9802,305.0
2020-09-11 16:23:00,6.98,6.98,6.98,6.98,695.0
2020-09-11 16:22:00,7.0,7.0,7.0,7.0,6316.0
2020-09-11 16:21:00,6.99,6.99,6.99,6.99,179.0
2020-09-11 16:20:00,6.99,6.99,6.99,6.99,142.0
2020-09-11 16:19:00,6.98,6.98,6.98,6.98,1068.0
2020-09-11 16:18:00,6.99,6.99,6.9899,6.9899,738.0
2020-09-11 16:16:00,6.98,6.98,6.98,6.98,817.0
2020-09-11 16:12:00,6.98,6.98,6.975,6.98,14982.0
2020-09-11 16:11:00,6.97,6.97,6.97,6.97,1676.0
2020-09-11 16:10:00,6.97,6.97,6.97,6.97,214.0
2020-09-11 16:08:00,6.98,7.0,6.97,6.98,39486.0
2020-09-11 16:07:00,6.98,6.98,6.98,6.98,8682.0
2020-09-11 16:06:00,6.985,6.99,6.985,6.99,715.0
2020-09-11 16:05:00,6.985,6.99,6.985,6.99,673.0
2020-09-11 16:04:00,7.0,7.0,6.99,6.99,6961.0
2020-09-11 16:03:00,7.0,7.0,7.0,7.0,717157.0
2020-09-11 16:02:00,6.99,6.99,6.98,6.99,107087.0
2020-09-11 16:01:00,6.99,6.99,6.99,6.99,378.0
2020-09-11 16:00:00,6.99,7.0,6.98,7.0,1131602.0
2020-09-11 15:59:00,6.985,6.99,6.98,6.99,653588.0
2020-09-11 15:58:00,6.985,6.99,6.98,6.98,244480.0
