date,2. high,3. low,Amazon
1999-11-01,71.88,66.31,
1999-11-02,70.0,65.06,
1999-11-03,68.5,65.0,
1999-11-04,67.19,61.0,
1999-11-05,65.5,62.25,
1999-11-08,80.0,63.5,
1999-11-09,83.06,70.0,
1999-11-10,75.0,70.13,
1999-11-11,75.0,71.38,
1999-11-12,75.0,70.81,
1999-11-15,76.0,73.31,
1999-11-16,79.63,73.75,
1999-11-17,80.0,75.44,
1999-11-18,78.19,75.25,
1999-11-19,78.13,76.06,
1999-11-22,82.5,76.0,
1999-11-23,85.63,76.25,
1999-11-24,87.75,83.25,
1999-11-26,95.13,90.5,
1999-11-29,96.88,90.13,
1999-11-30,88.88,83.81,
1999-12-01,87.63,81.97,
1999-12-02,91.31,85.63,
1999-12-03,93.38,86.06,
1999-12-06,89.88,84.69,
1999-12-07,88.0,84.38,
1999-12-08,93.0,86.75,
1999-12-09,113.0,93.44,
1999-12-10,112.0,104.4,
1999-12-13,106.6,101.5,
1999-12-14,104.0,95.0,
1999-12-15,99.44,91.0,
1999-12-16,98.75,93.5,
1999-12-17,97.63,93.81,
1999-12-20,101.6,95.06,
1999-12-21,100.4,96.56,
1999-12-22,100.6,95.5,
1999-12-23,99.0,89.06,
1999-12-27,88.25,80.13,
1999-12-28,86.5,81.56,
1999-12-29,85.38,82.63,
1999-12-30,85.13,78.5,
1999-12-31,79.38,76.0,
2000-01-03,89.56,80.0,
2000-01-04,91.5,81.75,
2000-01-05,75.13,69.63,
2000-01-06,72.69,64.0,
2000-01-07,70.5,66.19,
2000-01-10,72.63,65.56,
2000-01-11,70.0,65.0,
2000-01-12,68.0,63.0,
2000-01-13,67.19,63.13,
2000-01-14,68.5,64.0,
2000-01-18,65.19,63.0,
2000-01-19,67.5,63.0,
2000-01-20,67.0,63.94,
2000-01-21,64.63,60.0,
2000-01-24,73.38,67.5,
2000-01-25,71.25,66.0,
2000-01-26,70.0,64.75,
2000-01-27,67.75,64.63,
2000-01-28,66.44,60.0,
2000-01-31,64.75,58.44,
2000-02-01,70.63,64.38,
2000-02-02,72.25,67.75,
2000-02-03,85.94,77.38,
2000-02-04,82.75,78.0,
2000-02-07,76.88,73.13,
2000-02-08,84.0,73.44,
2000-02-09,83.73,80.02,
2000-02-10,79.88,75.5,
2000-02-11,79.13,75.5,
2000-02-14,75.75,73.56,
2000-02-15,76.19,70.63,
2000-02-16,73.44,70.63,
2000-02-17,71.31,68.0,
2000-02-18,69.0,63.88,
2000-02-22,66.5,63.06,
2000-02-23,71.75,64.69,
2000-02-24,71.38,65.63,
2000-02-25,69.38,65.19,
2000-02-28,67.19,64.13,
2000-02-29,68.97,65.88,
2000-03-01,68.5,65.0,
2000-03-02,65.0,62.19,
2000-03-03,64.75,62.06,
2000-03-06,67.25,62.81,
2000-03-07,65.81,62.13,
2000-03-08,64.75,60.56,
2000-03-09,69.0,62.19,
2000-03-10,68.53,65.0,
2000-03-13,66.63,63.0,
2000-03-14,66.94,63.38,
2000-03-15,65.13,62.0,
2000-03-16,66.38,60.0,
2000-03-17,66.38,64.5,
2000-03-20,64.5,62.38,
2000-03-21,73.0,62.25,
2000-03-22,74.0,69.25,
2000-03-23,70.94,67.5,
2000-03-24,67.69,67.69,
2000-03-27,75.13,71.75,
2000-03-28,72.75,69.47,
2000-03-29,69.88,65.0,
2000-03-30,67.38,64.0,
2000-03-31,67.13,63.0,
2000-04-03,65.69,62.0,
2000-04-04,65.44,55.75,
2000-04-05,64.94,60.5,
2000-04-06,65.5,61.88,
2000-04-07,68.63,64.13,
2000-04-10,68.44,63.25,
2000-04-11,66.0,61.25,
2000-04-12,64.38,56.25,
2000-04-13,58.75,47.94,
2000-04-14,52.38,40.81,
2000-04-17,52.0,44.63,
2000-04-18,56.25,47.13,
2000-04-19,55.31,51.69,
2000-04-20,53.69,49.88,
2000-04-24,51.56,44.88,
2000-04-25,54.13,50.25,
2000-04-26,57.44,52.45,
2000-04-27,55.25,48.5,
2000-04-28,55.63,53.13,
2000-05-01,60.31,55.25,
2000-05-02,60.0,55.88,
2000-05-03,56.56,53.0,
2000-05-04,56.5,53.13,
2000-05-05,58.63,54.13,
2000-05-08,59.25,55.44,
2000-05-09,57.75,53.0,
2000-05-10,55.38,49.0,
2000-05-11,55.75,50.94,
2000-05-12,56.5,53.13,
2000-05-15,56.5,50.88,
2000-05-16,59.88,56.0,
2000-05-17,62.38,57.0,
2000-05-18,60.88,55.13,
2000-05-19,55.75,52.25,
2000-05-22,53.13,46.88,
2000-05-23,51.88,46.5,
2000-05-24,49.75,40.44,
2000-05-25,50.0,45.5,
2000-05-26,47.75,44.0,
2000-05-30,51.88,47.31,
2000-05-31,52.25,49.63,
2000-06-01,51.13,46.38,
2000-06-02,58.13,52.25,
2000-06-05,56.25,52.5,
2000-06-06,54.56,50.25,
2000-06-07,52.19,50.13,
2000-06-08,53.44,51.63,
2000-06-09,53.25,51.88,
2000-06-12,52.19,47.0,
2000-06-13,49.5,46.25,
2000-06-14,49.88,46.0,
2000-06-15,47.94,45.31,
2000-06-16,47.44,45.38,
2000-06-19,45.88,43.5,
2000-06-20,48.63,45.13,
2000-06-21,46.94,45.06,
2000-06-22,46.44,41.63,
2000-06-23,37.0,32.47,
